,phrase,replacements,label,ex,final
68,liked at least <number> post by <mention>,"{""mention"": ""Shawna Potter"",""number"":""one""}",like,{},liked at least one post by Shawna Potter
15,rated page at least <number> times,"{""number"": ""4""}",rate,{},rated page at least 4 times
56,<post-word> in their bio,"{""post-word"": ""'captive'""}",profile,{},'captive' in their bio
301,phone number equals <phone>,"{""phone"": ""(101) 892-2757""}",profile,{},phone number equals (101) 892-2757
516,rated page with <number> stars,"{""number"": ""2""}",rate,{},rated page with 2 stars
528,bio contains <number>,"{""number"": ""8""}",profile,{},bio contains 8
388,<page-type> view,"{""page-type"": ""session""}",view,{},session view
166,clicked <number> times on the ad on <page-type> page,"{""page-type"": ""exhibitor"",""number"":""five""}",ad,{},clicked five times on the ad on exhibitor page
98,liked post about <post-word>,"{""post-word"": ""biplane""}",like,{},liked post about biplane
136,made <number> likes on <sentiment> posts,"{""sentiment"": ""positive"", ""number"": ""3""}",like,{},made 3 likes on positive posts
260,liked a post with the keyword <post-word>,"{""post-word"": ""big""}",like,{},liked a post with the keyword big
143,replied to post written by <mention>,"{""mention"": ""Andy Chandler""}",reply,{},replied to post written by Andy Chandler
202,answered <poll-answer> for a poll,"{""poll-answer"":""'no'""}",poll,{},answered 'no' for a poll
293,clicked on an ad <number> time,"{""number"": ""1""}",ad,{},clicked on an ad 1 time
235,rated a page at least one time ,{},rate,{},rated a page at least one time 
450,wrote post with <number> comments,"{""number"": ""5""}",post,"{""post.repliesCount"": ""5""}",wrote post with 5 comments
313,profile details contain <position> position for the position,"{""position"": ""Administrative Generalist/Specialist""}",profile,{},profile details contain Administrative Generalist/Specialist position for the position
128,"replied to the post that contains word <post-word>""","{""post-word"": ""'blackout""}",reply,{},"replied to the post that contains word 'blackout"""
272,name is <first-name>,"{""first-name"":""vida""}",profile,{},name is vida
189,<phone> phone,"{""phone"": ""(344) 842-7718""}",profile,{},(344) 842-7718 phone
515,viewed <page-type> page,"{""page-type"": ""sponsor""}",view,{},viewed sponsor page
187,"post ""<post-word>""","{""post-word"": ""rare""}",post,{},"post ""rare"""
354,downloaded a file with name <file-name>,"{""file-name"": ""'presentation.pptx'""}",file,{},downloaded a file with name 'presentation.pptx'
375,answered <poll-answer> in poll,"{""poll-answer"": ""'Yes'""}",poll,{},answered 'Yes' in poll
53,liked <mention> post,"{""mention"": ""Caleb Ramirez'""}",like,{},liked Caleb Ramirez's post
380,clicked on file <number> times,"{""number"": ""9""}",file,{},clicked on file 9 times
80,liked post containing word <post-word>,"{""post-word"": ""'coastal'""}",like,{},liked post containing word 'coastal'
23,downloaded a file from <page-type> page,"{""page-type"": ""exhibitor""}",file,{},downloaded a file from exhibitor page
427,liked post <number> times,"{""number"": ""5""}",like,{},liked post 5 times
121,rated page <number> times,"{""number"": ""3""}",rate,{},rated page 3 times
426,working at <company>,"{""company"": ""Abercrombie & Fitch""}",profile,{},working at Abercrombie & Fitch
267,phone number is <phone>,"{""number"": ""(939) 771-3645""}",profile,{},phone number is <phone>
115,liked the post <number> times,"{""number"": ""nine""}",like,{},liked the post nine times
29,downloaded any file from <page-type> page,"{""page-type"": ""exhibitor""}",file,{},downloaded any file from exhibitor page
316,participated in <number> polls,"{""number"": ""7""}",poll,{},participated in 7 polls
470,wrote post which was liked <number> times,"{""number"": ""2""}",post,"{""post.likes_count"": ""2""}",wrote post which was liked 2 times
356,made a download of a file which contains <file-name> in the name,"{""file-name"": ""'presentation.pptx'""}",file,{},made a download of a file which contains 'presentation.pptx' in the name
525,liked a post by Philip,{},like,{},liked a post by Philip
251,wrote posts that contain the keyword <post-word>,"{""post-word"": ""honey""}",post,"{""post.text"": ""honey""}",wrote posts that contain the keyword honey
49,bio has <post-word> in it,"{""post-word"": ""'captive'""}",profile,{},bio has 'captive' in it
172,"bio having ""<post-word>""","{""post-word"": ""biplane""}",profile,{},"bio having ""biplane"""
144,viewed page <number> times,"{""number"": ""2""}",view,{},viewed page 2 times
177,liked a <sentiment>ly colored sentiment,"{""sentiment"": ""positive""}",like,{},liked a positively colored sentiment
266,the phone number <phone>,"{""phone"": ""(939) 771-3645""}",profile,{},the phone number (939) 771-3645
46,clicked on ad from <company>,"{""company"": ""'Ablitech, Inc.'""}",ad,{},"clicked on ad from 'Ablitech, Inc.'"
295,interacted with an ad <number> time,"{""number"": ""1""}",ad,{},interacted with an ad 1 time
320,left a note on a page that contains <post-word>,"{""post-word"": ""'concussion'""}",note,{},left a note on a page that contains 'concussion'
446,viewed page which contains <post-word>,"{""post-word"": ""'beyond'""}",view,{},viewed page which contains 'beyond'
513,Google + account,{},profile,{},Google + account
326,added a note to page with the word <post-word>,"{""post-word"": ""'concussion'""}",note,{},added a note to page with the word 'concussion'
300,<position> in the position field,"{""position"": ""Administrative Generalist/Specialist""}",profile,{},Administrative Generalist/Specialist in the position field
514,post with <number> replies,"{""number"": ""9""}",post,{},post with 9 replies
192,"post has ""<post-word>""","{""post-word"": ""rare""}",post,{},"post has ""rare"""
66,downloaded a file from page with <page-type> type,"{""page-type"": ""'sponsor'""}",file,{},downloaded a file from page with 'sponsor' type
317,saved a note for a page that contains <post-word>,"{""post-word"": ""'concussion'""}",note,{},saved a note for a page that contains 'concussion'
459,attended even <number> times,"{""number"": ""5""}",event,{},attended even 5 times
100,"""<post-word>"" in bio","{""post-word"": ""big""}",profile,{},"""big"" in bio"
215,answered <poll-answer> in poll,"{""poll-answer"": ""No""}",poll,{},answered No in poll
230,left a comment for the post with <post-word>,"{""post-word"": ""'biplane'""}",reply,{},left a comment for the post with 'biplane'
212,viewed a page two times,{},view,{},viewed a page two times
373,clicked on ad created by <company>,"{""company"": ""'AC Lens'""}",ad,{},clicked on ad created by 'AC Lens'
495,name is <first-name>,"{""first-name"": ""Petra""}",profile,{},name is Petra
487,clicked on advertisement by 'Acisi Inc.',{},ad,{},clicked on advertisement by 'Acisi Inc.'
406,<sentiment> sentiment towards event,"{""sentiment"": ""negative""}",event,{},negative sentiment towards event
332,clicked on <number> add,"{""number"": ""1""}",ad,{},clicked on 1 add
314,<phone> for the phone number,"{""phone"": ""(101) 892-2757""}",profile,{},(101) 892-2757 for the phone number
69,downloaded file from <page-type> type page,"{""page-type"": ""'sponsor'""}",file,{},downloaded file from 'sponsor' type page
507,leave a rate on page with <post-word>,"{""post-word"": ""'pragmatic'""}",rate,{},leave a rate on page with 'pragmatic'
105,"like posts with ""<post-word>"" in it","{""post-word"": ""biplane""}",like,{},"like posts with ""biplane"" in it"
344,answer to a poll equals <poll-answer>,"{""poll-answer"": ""'No'""}",poll,{},answer to a poll equals 'No'
403,connected <social-network>+,"{""social-network"": ""google""}",profile,{},connected google+
237,wrote a post that got <number> replies,"{""number"": ""7""}",post,"{""post.repliesCount"": ""7""}",wrote a post that got 7 replies
355,connected <social-network>,"{""social-network"": ""facebook""}",profile,{},connected facebook
351,left <number> notes,"{""number"": ""3""}",note,{},left 3 notes
527,clicked on an ad <number> times,"{""number"": ""4""}",ad,{},clicked on an ad 4 times
133,wrote a note on page with word <post-word>,"{""post-word"": ""'easy'""}",note,{},wrote a note on page with word 'easy'
452,work as Affordable Housting Specialist,{},profile,{},work as Affordable Housting Specialist
24,rated page <number> or more times,"{""number"": ""4""}",rate,{},rated page 4 or more times
27,rated page <number> times,"{""number"": ""4""}",rate,{},rated page 4 times
232,rated page with <number> stars,"{""number"": ""0""}",rate,{},rated page with 0 stars
219,replied to the post contains <post-word>,"{""post-word"": ""'biplane'""}",reply,{},replied to the post contains 'biplane'
5,clickd on ad with text <post-word> in it,"{""post-word"": ""'blackout'""}",ad,{},clickd on ad with text 'blackout' in it
387,<poll-answer> answer in quick poll,"{""poll-answer"": ""'Yes'""}",poll,{},'Yes' answer in quick poll
407,<sentiment> post,"{""sentiment"": ""positive""}",post,"{""post.sentiment"": ""positive""}",positive post
236,viewed a page <number> times,"{""number"": ""5""}",view,{},viewed a page 5 times
0,wrote posts mentioning <mention>,"{""mention"": ""Stacy Vaughn""}",post,"{""post.mention"": ""Stacy Vaughn""}",wrote posts mentioning Stacy Vaughn
312,liked a post containing the word <post-word>,"{""post-word"": ""'pragmatic'""}",like,{},liked a post containing the word 'pragmatic'
20,downloaded a file from page with <page-type> type,"{""page-type"": ""'exhibitor'""}",file,{},downloaded a file from page with 'exhibitor' type
44,wrote a post with <sentiment> sentiment,"{""sentiment"": ""positive""}",post,"{""post.sentiment"": ""positive""}",wrote a post with positive sentiment
394,works ar <company>,"{""company"": ""Abercrombie & Fitch""}",profile,{},works ar Abercrombie & Fitch
201,downloaded a file <number> times,"{""number"":""five""}",file,{},downloaded a file five times
246,<email> email,"{""email"": ""rgarcia@optonline.net""}",profile,{},rgarcia@optonline.net email
158,from <location>,"{""location"": ""'Greece'""}",profile,{},from 'Greece'
287,post has <sentiment> sentiment,"{""sentiment"": ""negative""}",post,"{""post.sentiment"": ""negative""}",post has negative sentiment
6,wrote a post about <mention>,"{""mention"": ""Stacy Vaughn""}",post,"{""post.mention"": ""Stacy Vaughn""}",wrote a post about Stacy Vaughn
392,rated <page-type>s page,"{""page-type"": ""exhibitor'""}",rate,{},rated exhibitor's page
464,post liked <number> times,"{""number"": ""2""}",post,"{""post.likes_count"": ""2""}",post liked 2 times
55,any <sentiment> post,"{""sentiment"": ""positive""}",post,"{""post.sentiment"": ""positive""}",any positive post
382,<page-type> page views,"{""page-type"": ""session""}",view,{},session page views
38,first name <first-name>,"{""first-name"": ""Marjorie""}",profile,{},first name Marjorie
303,the phone number <phone>,"{""phone"": ""(101) 892-2757""}",profile,{},the phone number (101) 892-2757
248,converted on the activision <page-type>ed post,"{""page-type"": ""sponsor""}",ad,{},converted on the activision sponsored post
229, voted <poll-answer>,"{""poll-answer"": ""No""}",poll,{}, voted No
51,rated <page-type> page,"{""page-type"": ""speaker""}",rate,{},rated speaker page
99,replied to post by <mention>,"{""mention"": ""Sherman Cooper""}",reply,{},replied to post by Sherman Cooper
395,<page-type>s page rating,"{""page-type"": ""exhibitor'""}",rate,{},exhibitor's page rating
119,first name <first-name>,"{""first-name"": ""'Chante'""}",profile,{},first name 'Chante'
42,clicked <company> ad,"{""company"": ""ablitech""}",ad,{},clicked ablitech ad
422,replied to post with <post-word> in its text,"{""post-word"": ""'concussion'""}",reply,{},replied to post with 'concussion' in its text
64,<last-name> as a last name,"{""last-name"": ""White""}",profile,{},White as a last name
90, commented with a word <post-word>,"{""post-word"": ""'convulsion'""}",reply,{}, commented with a word 'convulsion'
16,answered <poll-answer> in a poll,"{""poll-answer"": ""'Yes'""}",poll,{},answered 'Yes' in a poll
520,posted a content with <number> comments,"{""number"": ""9""}",post,"{""post.repliesCount"": ""9""}",posted a content with 9 comments
524,downloaded a file named <file-name>,"{""file-name"": ""workshop.doc""}",file,{},downloaded a file named workshop.doc
473,left rating on page with <page-type> type,"{""page-type"": ""'exhibitor'""}",rate,{},left rating on page with 'exhibitor' type
269,commented estelle jimenez's post,"{""mention"":""estelle jimenez""}",reply,{},commented estelle jimenez's post
500,posted <number> messages,"{""number"": ""2""}",post,"{""post.count"": ""2""}",posted 2 messages
455,set position to <position>,"{""position"": ""Affordable Housing Specialist""}",profile,{},set position to Affordable Housing Specialist
493,visited page contains <post-word>,"{""post-word"": ""'adsorbable'""}",view,{},visited page contains 'adsorbable'
311,<position>s,"{""position"": ""Administrative Generalist/Specialist""}",profile,{},Administrative Generalist/Specialists
357,linked <social-network> to their profile,"{""social-network"": ""facebook""}",profile,{},linked facebook to their profile
164,website set in their profile as <website>,"{""website"": ""'free.fr'""}",profile,{},website set in their profile as 'free.fr'
518,viewed <page-type>,"{""page-type"": ""sponsor""}",view,{},viewed sponsor
359,answered <poll-answer> in quick poll,"{""poll-answer"": ""'Yes'""}",poll,{},answered 'Yes' in quick poll
333,<location> in profile details ,"{""location"": ""Samoa""}",profile,{},Samoa in profile details 
435,<number> posts likes,"{""number"": ""5""}",like,{},5 posts likes
205,at least <number> answer was <poll-answer>,"{""number"":""one"",""poll-answer"":""'no'""}",poll,{},at least one answer was 'no'
122,wrote a post that contains <post-word>?,"{""post-word"": ""'big'""}",post,"{""post.text"": ""\""big\""""}",wrote a post that contains 'big'?
173,attended once,{},event,{},attended once
506,voted <number> times,"{""number"": ""4""}",poll,{},voted 4 times
483,participated in a polls <number> times,"{""number"": ""4""}",poll,{},participated in a polls 4 times
149,<website> website,"{""website"": ""'bandcamp.com'""}",profile,{},'bandcamp.com' website
296,voted on a poll with the question <poll-question>?',"{""poll-question"": ""'Do you sleep with your sheets tucked in""}",poll,{},voted on a poll with the question 'Do you sleep with your sheets tucked in?'
331,left a comment on a post by <mention>,"{""mention"": ""Kristin Hansen""}",reply,{},left a comment on a post by Kristin Hansen
345,viewed <number> pages,"{""number"": ""4""}",view,{},viewed 4 pages
226,liked message by <mention>,"{""mention"": ""Caleb Ramirez""}",like,{},liked message by Caleb Ramirez
41,wrote <sentiment> post,"{""sentiment"": ""positive""}",post,"{""post.sentiment"": ""positive""}",wrote positive post
243,<email>,"{""email"": ""rgarcia@optonline.net""}",profile,{},rgarcia@optonline.net
204,answered <number> polls,"{""number"": ""three""}",poll,{},answered three polls
436,clicked on ad containing <post-word>,"{""post-word"": ""'escapist'""}",ad,{},clicked on ad containing 'escapist'
8,clickd on add that contained <post-word>,"{""post-word"": ""'blackout'""}",ad,{},clickd on add that contained 'blackout'
443,post containing <number> replies,"{""number"": ""5""}",post,"{""post.repliesCount"": ""5""}",post containing 5 replies
463,rating for page about <post-word>,"{""post-word"": ""'coastal'""}",rate,{},rating for page about 'coastal'
222,commented to the post about <post-word>,"{""post-word"": ""'biplane'""}",reply,{},commented to the post about 'biplane'
261,saw any page <number> times,"{""number"": ""5""}",view,{},saw any page 5 times
117,liked post <number> times,"{""number"": ""9""}",like,{},liked post 9 times
404,written <sentiment> posts,"{""sentiment"": ""positive""}",post,"{""post.sentiment"": ""positive""}",written positive posts
244,<website> as their website,"{""website"": ""deviantart.com""}",profile,{},deviantart.com as their website
408,connected <social-network>+ account,"{""social-network"": ""google""}",profile,{},connected google+ account
389,left a note on page with <page-type> type,"{""page-type"": ""'speaker'""}",note,{},left a note on page with 'speaker' type
398,<page-type> rating,"{""page-type"": ""exhibitor""}",rate,{},exhibitor rating
306,liked a post containing <post-word>,"{""post-word"": ""'pragmatic'""}",like,{},liked a post containing 'pragmatic'
439,wrote post with <number> replies,"{""number"": ""5""}",post,"{""post.repliesCount"": ""5""}",wrote post with 5 replies
171,<number> downloads,"{""number"": ""0""}",file,{},0 downloads
521,opened <page-type> page,"{""page-type"": ""sponsor""}",view,{},opened sponsor page
289,responded <poll-answer> to a poll,"{""poll-answer"": ""'No'""}",poll,{},responded 'No' to a poll
154,rated <page-type> pages,"{""page-type"": ""'session'""}",rate,{},rated 'session' pages
242,wrote post that got <number> comments ,"{""number"": ""7""}",post,"{""post.repliesCount"": ""7""}",wrote post that got 7 comments 
33,n't enjoy the event,{},profile,{},n't enjoy the event
290,attendees posted at least one post with <sentiment> sentiment,"{""sentiment"": ""negative""}",post,"{""post.sentiment"": ""negative"", ""post.count"": "">=1""}",attendees posted at least one post with negative sentiment
600,attendees posted at most one post with <sentiment> sentiment,"{""sentiment"": ""negative""}",post,"{""post.sentiment"": ""most"", ""post.count"": ""<=1""}",attendees posted at most one post with negative sentiment
601,attendees posted less than two posts with <sentiment> sentiment,"{""sentiment"": ""negative""}",post,"{""post.sentiment"": ""negative"", ""post.count"": ""<2""}",attendees posted less than two posts with negative sentiment
602,attendees posted more than one posts with <sentiment> sentiment,"{""sentiment"": ""negative""}",post,"{""post.sentiment"": ""negative"", ""post.count"": "">1""}",attendees posted more than one posts with negative sentiment
603,attendees posted one or more posts with <sentiment> sentiment,"{""sentiment"": ""negative""}",post,"{""post.sentiment"": ""negative"", ""post.count"": "">=1""}",attendees posted one or more posts with negative sentiment
604,attendees posted two or less posts with <sentiment> sentiment,"{""sentiment"": ""negative""}",post,"{""post.sentiment"": ""negative"", ""post.count"": ""<=2""}",attendees posted two or less posts with negative sentiment
278,n't use the app,{},session,{},n't use the app
21,rated page <number> time,"{""number"": ""4""}",rate,{},rated page 4 time
231,attended Deaply Seals<number><number>,"{""number"": ""5""}",event,{},attended Deaply Seals55
102,replied to <mention>,"{""mention"": ""Sherman Cooper""}",reply,{},replied to Sherman Cooper
82,replied to post written by Hoe <mention>s,"{""mention"": ""Hoe Griffith'""}",reply,{},replied to post written by Hoe Hoe Griffith's
330,<location> as location,"{""location"": ""Samoa""}",profile,{},Samoa as location
461,rated page containing <post-word>,"{""post-word"": ""'coastal'""}",rate,{},rated page containing 'coastal'
210,attended the event 'Deeply Seals<number><number>,"{""number"": ""5'""}",event,{},attended the event 'Deeply Seals5'5'
131,rated the page <number> times,"{""number"": ""three""}",rate,{},rated the page three times
167,no downloads,{},file,{},no downloads
370,posted about <mention>,"{""mention"": ""Dorothy Larson""}",post,"{""post.mention"": ""Dorothy Larson""}",posted about Dorothy Larson
522,liked a post by <mention>,"{""mention"": ""Philip Stephens""}",like,{},liked a post by Philip Stephens
238,replied to a post with <sentiment> sentiment,"{""sentiment"": ""negative""}",reply,{},replied to a post with negative sentiment
240,commented <sentiment>ly,"{""sentiment"": ""negative""}",reply,{},commented negatively
360,wrote post mentioning <mention>,"{""mention"": ""Dorothy Larson""}",post,"{""post.mention"": ""Dorothy Larson""}",wrote post mentioning Dorothy Larson
431,<company> set as company,"{""company"": ""Abercrombie & Fitch""}",profile,{},Abercrombie & Fitch set as company
256,downloaded something <number> times,"{""number"": ""3""}",file,{},downloaded something 3 times
462,wrote post with <number> likes,"{""number"": ""2""}",post,"{""post.likes_count"": ""2""}",wrote post with 2 likes
59,downloaded <file-name> file,"{""file-name"": ""'workshop.doc'""}",file,{},downloaded 'workshop.doc' file
132,wrote post that contains <post-word>,"{""post-word"": ""'big'""}",post,"{""post.text"": ""\""big\""""}",wrote post that contains 'big'
207,rated a page that contains <post-word> at least <number> times,"{""post-word"": ""'gargoyle'"", ""poll-answer"": ""No"",""number"":""nine""}",rate,{},rated a page that contains 'gargoyle' at least nine times
247,clicked on the activision <page-type>ed post,"{""page-type"": ""sponsor""}",ad,{},clicked on the activision sponsored post
48,never answered <poll-answer>,"{""poll-answer"": ""yes""}",poll,{},never answered yes
179,liked a post with a <sentiment> sentiment,"{""sentiment"": ""positive""}",like,{},liked a post with a positive sentiment
126,replied on post containing <post-word>,"{""post-word"": ""'blackout'""}",reply,{},replied on post containing 'blackout'
385,participated in poll answering <poll-answer>,"{""poll-answer"": ""'Yes'""}",poll,{},participated in poll answering 'Yes'
335,attendees from <location>,"{""location"": ""Samoa""}",profile,{},attendees from Samoa
34,name <first-name>,"{""first-name"": ""Marjorie""}",profile,{},name Marjorie
142,viewed <number> pages,"{""number"": ""2""}",view,{},viewed 2 pages
419,<location> set as location,"{""location"": ""Vatican City""}",profile,{},Vatican City set as location
526,downloaded <file-name>,"{""file-name"": ""workshop.doc""}",file,{},downloaded workshop.doc
160,attended event <number> times,"{""number"": ""3""}",event,{},attended event 3 times
61,viewed page  <number> times,"{""number"": ""5""}",view,{},viewed page  5 times
471,attended <event>,"{""event"": ""'Happy Hippopotamuss'18'""}",event,{},attended 'Happy Hippopotamuss'18'
259,clicked a sponsored post <number> times,"{""number"": ""7""}",ad,{},clicked a sponsored post 7 times
383,<poll-answer> quick poll answers,"{""poll-answer"": ""'Yes'""}",poll,{},'Yes' quick poll answers
297,answered <poll-question>?' in a poll,"{""poll-question"": ""'Do you sleep with your sheets tucked in""}",poll,{},answered 'Do you sleep with your sheets tucked in?' in a poll
286,liked a post with <sentiment> sentiment,"{""sentiment"": ""positive""}",like,{},liked a post with positive sentiment
176,attended before,{},event,{},attended before
104,liked some post on <post-word>s,"{""post-word"": ""biplane""}",like,{},liked some post on biplanes
480,voted in single poll,{},poll,{},voted in single poll
73,rated page with <post-word> in text,"{""post-word"": ""'abomination'""}",rate,{},rated page with 'abomination' in text
7,at least <number> likes,"{""number"": ""nine""}",like,{},at least nine likes
250,a post that was liked <number> times,"{""number"": ""7""}",post,"{""post.likes_count"": ""7""}",a post that was liked 7 times
67,last name <last-name>,"{""last-name"": ""White""}",profile,{},last name White
96,left comment about <post-word>,"{""post-word"": ""'convulsion'""}",reply,{},left comment about 'convulsion'
190,reply to <mention>,"{""mention"": ""Stacy Vaughn""}",reply,{},reply to Stacy Vaughn
458,work at <position> position,"{""position"": ""Affordable Housing Specialist""}",profile,{},work at Affordable Housing Specialist position
418,replied to post with <post-word>,"{""post-word"": ""'concussion'""}",reply,{},replied to post with 'concussion'
519,rated page with more than <number> stars,"{""number"": ""2""}",rate,{},rated page with more than 2 stars
3,wrote at least one post with mention of <mention>,"{""mention"": ""Stacy Vaughn""}",post,"{""post.mention"": ""Stacy Vaughn"", ""post.count"": "">=1""}",wrote at least one post with mention of Stacy Vaughn
14,clicked on ad that contains <post-word>,"{""post-word"": ""'blackout'""}",ad,{},clicked on ad that contains 'blackout'
155,gave rating to <page-type> pages,"{""page-type"": ""'session'""}",rate,{},gave rating to 'session' pages
218,liked <mention>s post,"{""mention"": ""Caleb Ramirez'""}",like,{},liked Caleb Ramirez's post
191,phone number <phone>,"{""phone"": ""(344) 842-7718""}",profile,{},phone number (344) 842-7718
43,participated in poll and answered <poll-answer>,"{""poll-answer"": ""yes""}",poll,{},participated in poll and answered yes
174,liked a <sentiment> post,"{""sentiment"": ""positive""}",like,{},liked a positive post
350,viewed a page with <post-word>,"{""post-word"": ""'biplane'""}",view,{},viewed a page with 'biplane'
175,<post-word> in bio,"{""post-word"": ""'biplane'""}",profile,{},'biplane' in bio
168,clicked <number> times on the ad on the <page-type> page,"{""page-type"": ""exhibitor"",""number"":""five""}",ad,{},clicked five times on the ad on the exhibitor page
11,wrote post with <mention>s mention,"{""mention"": ""Stacy Vaughn'""}",post,"{""post.mention"": ""Stacy Vaughn""}",wrote post with Stacy Vaughn's mention
208,liked a page <number> time and the page contains <post-word>,"{""number"":""nine"",""post-word"":""'gargoyle'""}",rate,{},liked a page nine time and the page contains 'gargoyle'
62,never participated in polls,{},poll,{},never participated in polls
484,participated in <number> polls,"{""number"": ""4""}",poll,{},participated in 4 polls
199,answered a poll <poll-answer> <number> times,"{""poll-answer"":""'no'"",""number"":""three""}",poll,{},answered a poll 'no' three times
170,users clicked <number> times ad <page-type> page,"{""number"": ""5"", ""page-type"": ""exhibitor""}",ad,{},users clicked 5 times ad exhibitor page
328,took part in <number> polls,"{""number"": ""7""}",poll,{},took part in 7 polls
308,phone number is <phone>,"{""phone"": ""(101) 892-2757""}",profile,{},phone number is (101) 892-2757
372,wrote post with mention of <mention>,"{""mention"": ""Dorothy Larson""}",post,"{""post.mention"": ""Dorothy Larson""}",wrote post with mention of Dorothy Larson
